7/10/1955,NEW YORK,3470. STREET,34401,NY,GUNNAR ZETA,4561429,167-391-1918,C,W,DOLLAR GENERAL CAP BLACK,1,N,2,9.95,DALLAS,3/9/1974,1007,M,ANNIE DAVIDSON,198-971-1952,GOAC,4,29876,TX,234 NEVIN ROAD,1/1/2014,,,
12/23/1982,ST. THOMAS,19. STREET,40622,BH,JOE TSEPILOVAN,4563292,142-366-1364,S,W,WINSOR SHOES SEMI-FORMAL MEN,1,N,1,26.5,NEW YORK,1/1/1967,1004,M,DONNA BURBANKS,198-337-1792,BY THE SEA,3,30113,NY,HUDSON FIRST PLAZA SUITE 229,1/1/2015,,,5840
5/8/1961,PARIS,6. AVENUE,32629,FR,HENRY THORSTENSSON,4563469,256-951-1949,L,D,SHUE LIGHTER MANUAL,1,Y,1,1,LOS ANGELES,4/12/1984,1010,R,PETER BLOKE,983-870-1961,GOAC,5,30350,CA,DARYL'S MAIN ROAD 1234,1/1/2015,,,
4/6/1935,CHARLOTTE,87. AVENUE,30076,NC,CANTOR PICKARD,4561304,380-239-1895,C,W,TIP TOP JOCK BLACK,3,N,3,16.95,MIAMI,2/5/1991,1011,R,SALLY RAFAEL,876-654-1888,GOAC,6,30587,FL,334 SEA BREEZE BVLD.,1/1/2015,,,
4/19/1969,MIAMI,240. GATE,42006,FL,RAGNHILD SMOER,4563390,246-165-1221,C,W,DILLAN SOCKS,3,N,1,22.35,DALLAS,3/9/1974,1007,M,ANNIE DAVIDSON,198-971-1952,GOAC,4,29876,TX,234 NEVIN ROAD,1/11/2014,,,
10/17/1934,LIVERPOOL,350. AVENUE,27093,UK,IONA HOBBSON,4563437,326-916-1380,L,D,SHUE LIGHTERS GAS,1,N,1,4.5,DALLAS,3/9/1974,1007,M,ANNIE DAVIDSON,198-971-1952,GOAC,4,29876,TX,234 NEVIN ROAD,1/11/2014,,,
9/16/1936,ST. THOMAS,14. BVLD.,28304,BH,BRIAN ZETA,4563444,115-349-1347,B,F,BOOTS GREEN,1,N,1,19.95,CHARLOTTE,3/5/1994,1002,S,LAURENCE SMITH,546-728-2982,BY THE SEA,2,28202,NC,FRANCISCO AVENUE 2ND FLOOR,1/11/2015,,,
4/7/1969,RALEIGH,3470. JONSON AVENNUE,32664,NC,LAURENCE BLACK,4562556,908-107-1105,C,W,DILLAN JEANS,1,N,5,32.85,LOS ANGELES,4/12/1984,1010,R,PETER BLOKE,983-870-1961,GOAC,5,28439,CA,DARYL'S MAIN ROAD 1234,1/11/2015,,,
1/18/1972,SIDNEY,14. BOULEVARD,45466,AU,JAN BIERCO,4563410,221-916-1914,L,D,SHUE LIGHTER MANUAL,1,N,1,2,DALLAS,3/9/1974,1007,M,ANNIE DAVIDSON,198-971-1952,GOAC,4,29876,TX,234 NEVIN ROAD,1/14/2014,,,
1/26/1933,ORLANDO,23. AV.,28692,FL,BILL LINDSEY,4561264,169-393-1920,C,W,DILLAN T-SHIRT WHITE,3,N,3,8.75,DALLAS,3/9/1974,1007,M,ANNIE DAVIDSON,198-971-1952,GOAC,4,29876,TX,234 NEVIN ROAD,1/14/2014,,,
